AMRE,C,0
AMRE,D,0
AMRE,F,7
AMRE,G,22
AMRE,H,10
AMRE,K,0
AMRE,P,1
AMRE,S,1
BAWW,C,0
BAWW,D,0
BAWW,F,0
BAWW,G,23
BAWW,H,0
BAWW,K,0
BAWW,P,0
BAWW,S,1
BBTO,C,0
BBTO,D,0
BBTO,F,28
BBTO,G,1
BBTO,H,4
BBTO,K,0
BBTO,P,0
BBTO,S,3
BWVI,C,19
BWVI,D,0
BWVI,F,0
BWVI,G,29
BWVI,H,0
BWVI,K,0
BWVI,P,0
BWVI,S,0
CMWA,C,0
CMWA,D,18
CMWA,F,6
CMWA,G,80
CMWA,H,15
CMWA,K,1
CMWA,P,1
CMWA,S,4
NOPA,C,0
NOPA,D,0
NOPA,F,3
NOPA,G,67
NOPA,H,20
NOPA,K,0
NOPA,P,0
NOPA,S,5
OVEN,C,0
OVEN,D,0
OVEN,F,0
OVEN,G,9
OVEN,H,0
OVEN,K,11
OVEN,P,0
OVEN,S,4
PAWA,C,0
PAWA,D,0
PAWA,F,3
PAWA,G,13
PAWA,H,3
PAWA,K,16
PAWA,P,0
PAWA,S,4
PRAW,C,0
PRAW,D,0
PRAW,F,8
PRAW,G,52
PRAW,H,10
PRAW,K,1
PRAW,P,1
PRAW,S,2
YRWA,C,1
YRWA,D,0
YRWA,F,15
YRWA,G,57
YRWA,H,21
YRWA,K,45
YRWA,P,5
YRWA,S,7
