Row,ID #,Species,Bird Height,Foraging Location,Mixed Location,Combined Location,Foraging Behavior,Substrate type,Canopy height,% Height in Canopy
61,39,BBTO,2,UL,UL,L,H,T,12,0.17
541,238,CMWA,6,UL,UL,L,H,T,12,0.50
542,239,CMWA,7,UL,UL,L,H,T,12,0.58
557,247,CMWA,5,UL,UL,L,S,T,12,0.42
412,186,CMWA,1.5,UL,UL,L,G,B,13,0.12
411,186,CMWA,1.5,L,L,L,H,B,13,0.12
415,187,NOPA,1,OL,OL,L,G,S,13,0.08
413,186,CMWA,1.5,OL,OL,L,G,S,13,0.12
414,187,NOPA,1,UL,UL,L,G,S,13,0.08
104,62,AMRE,2,OL,OL,L,H,S,13,0.15
569,252,PRAW,6,OL,OL,L,G,T,13,0.46
570,252,PRAW,6,OL,OL,L,G,T,13,0.46
70,44,CMWA,7,OL,OL,L,G,T,13,0.54
80,51,CMWA,13,OL,OL,L,G,T,13,1.00
208,104,NOPA,7,OL,OL,L,H,T,13,0.54
234,122,YRWA,2,OL,OL,L,G,T,14,0.14
175,95,CMWA,7,OL,OL,L,G,T,14,0.50
177,96,CMWA,7,OL,OL,L,G,T,14,0.50
548,245,YRWA,8,OL,OL,L,G,T,14,0.57
432,191,CMWA,12,OL,OL,L,G,T,14,0.86
233,121,YRWA,2,UL,UL,L,G,T,14,0.14
121,71,NOPA,3,UL,UL,L,G,T,14,0.21
63,40,NOPA,4,UL,UL,L,G,T,14,0.29
123,71,NOPA,4,UL,UL,L,G,T,14,0.29
174,95,CMWA,7,UL,UL,L,G,T,14,0.50
49,35,PRAW,8,UL,UL,L,G,T,14,0.57
547,245,YRWA,8,UL,UL,L,G,T,14,0.57
430,191,CMWA,13,UL,UL,L,G,T,14,0.93
62,40,NOPA,3,OL,OL,L,H,T,14,0.21
122,71,NOPA,3,OL,OL,L,H,T,14,0.21
65,40,NOPA,4,OL,OL,L,H,T,14,0.29
239,125,YRWA,0.3,OL,OL,L,H,,14,0.02
565,250,CMWA,7,OL,OL,L,G,T,15,0.47
182,97,CMWA,10,OL,OL,L,G,T,15,0.67
183,97,CMWA,10,OL,OL,L,G,T,15,0.67
568,251,YRWA,11,OL,OL,L,G,T,15,0.73
564,250,CMWA,7,UL,UL,L,G,T,15,0.47
179,97,CMWA,10,UL,UL,L,G,T,15,0.67
181,97,CMWA,10,UL,UL,L,G,T,15,0.67
184,97,CMWA,10,UL,UL,L,G,T,15,0.67
186,97,CMWA,10,UL,UL,L,G,T,15,0.67
567,251,YRWA,12,OL,OL,L,H,T,15,0.80
98,57,NOPA,1,UL,UL,L,G,S,16,0.06
519,225,NOPA,4,UL,UL,L,G,S,16,0.25
41,31,NOPA,9,OL,OL,L,G,T,16,0.56
380,177,NOPA,6,UL,UL,L,G,T,16,0.38
372,175,CMWA,7,UL,UL,L,G,T,16,0.44
373,175,CMWA,7,L,L,L,H,T,16,0.44
375,175,CMWA,9,L,L,L,H,T,16,0.56
376,175,CMWA,9,L,L,L,H,T,16,0.56
377,175,CMWA,9,L,L,L,H,T,16,0.56
378,175,CMWA,9,L,L,L,H,T,16,0.56
381,177,NOPA,9,L,L,L,H,T,16,0.56
382,177,NOPA,9,L,L,L,H,T,16,0.56
383,177,NOPA,9,L,L,L,H,T,16,0.56
384,178,PRAW,9,L,L,L,H,T,16,0.56
385,178,PRAW,9,L,L,L,H,T,16,0.56
386,178,PRAW,9,L,L,L,H,T,16,0.56
374,175,CMWA,7,L,L,L,S,T,16,0.44
497,217,BWVI,5,OL,OL,L,G,T,17,0.29
498,217,BWVI,6,OL,OL,L,G,T,17,0.35
31,26,CMWA,4,UL,UL,L,G,B,,
355,168,YRWA,1,UL,UL,L,G,GC,,
356,168,YRWA,1,UL,UL,L,G,GC,,
357,168,YRWA,1,UL,UL,L,G,GC,,
353,168,YRWA,0.1,L,L,L,P,GC,,
354,168,YRWA,0.1,L,L,L,P,GC,,
199,100,YRWA,0.2,L,L,L,H,L,,
124,72,CMWA,1.5,OL,OL,L,G,S,,
128,72,CMWA,1.5,OL,OL,L,G,S,,
192,99,YRWA,0.1,OL,OL,L,G,T,,
27,22,YRWA,3,OL,OL,L,G,T,,
29,25,NOPA,11,UL,UL,L,G,T,,
33,26,CMWA,3,OL,OL,L,H,T,,
467,203,YRWA,0.1,L,L,L,G,V,,
468,203,YRWA,0.1,L,L,L,G,V,,
469,203,YRWA,0.1,L,L,L,G,V,,
9,9,YRWA,2,OL,OL,L,G,,,
11,11,NOPA,2.5,OL,OL,L,G,,,
14,12,NOPA,3,OL,OL,L,G,,,
24,20,NOPA,,OL,OL,L,G,,,
19,16,NOPA,1.75,UL,UL,L,G,,,
472,204,YRWA,0.3,L,L,L,H,,,
17,16,NOPA,2,OL,OL,L,H,,,
2,2,YRWA,1.5,L,L,L,P,,,
525,228,NOPA,3,SW,SW,O,G,T,8,0.38
479,208,YRWA,1.5,SW,SW,O,G,T,9,0.17
480,208,YRWA,1.5,SW,SW,O,G,T,9,0.17
481,208,YRWA,1.5,SW,SW,O,G,T,9,0.17
105,63,NOPA,4,SW,SW,O,G,T,9,0.44
106,63,NOPA,3,SW,SW,O,H,T,9,0.33
610,266,AMRE,3,SW,SW,O,G,D,10,0.30
101,61,NOPA,9,SW,SW,O,G,T,11,0.82
103,61,NOPA,9,SW,SW,O,G,T,11,0.82
102,61,NOPA,9,SW,SW,O,H,T,11,0.82
81,51,CMWA,13,SW,SW,O,G,T,13,1.00
120,71,NOPA,3,SW,SW,O,G,B,14,0.21
232,120,YRWA,2.3,SW,SW,O,S,S,14,0.16
229,118,YRWA,0.8,SW,SW,O,H,T,14,0.06
148,85,YRWA,1.5,T,T,T,S,B,3,0.50
631,273,BAWW,5,T,T,T,G,T,8,0.63
632,273,BAWW,6,T,T,T,G,T,8,0.75
276,140,BAWW,3,T,T,T,G,T,9,0.33
291,148,BAWW,3,T,T,T,G,T,9,0.33
277,140,BAWW,4,T,T,T,G,T,9,0.44
292,148,BAWW,5,T,T,T,G,T,9,0.56
626,271,BAWW,5,T,T,T,G,T,9,0.56
628,271,BAWW,6,T,T,T,G,T,9,0.67
662,285,BAWW,6,T,T,T,G,T,9,0.67
663,285,BAWW,6,T,T,T,G,T,9,0.67
664,285,BAWW,6,T,T,T,S,T,9,0.67
227,116,BAWW,1,T,T,T,G,T,10,0.10
207,103,AMRE,1,T,T,T,G,T,11,0.09
218,111,PAWA,2,T,T,T,G,T,11,0.18
114,68,BAWW,1,T,T,T,G,T,12,0.08
116,69,BAWW,3,T,T,T,G,T,12,0.25
360,170,YRWA,4,T,T,T,G,T,12,0.33
493,216,BAWW,4,T,T,T,G,T,12,0.33
494,216,BAWW,6,T,T,T,G,T,12,0.50
495,216,BAWW,6,T,T,T,G,T,12,0.50
44,33,BAWW,4,T,T,T,G,S,16,0.25
45,33,BAWW,4,T,T,T,G,S,16,0.25
149,86,YRWA,1,W,W,W,C,B,3,0.33
511,223,CMWA,4,W,W,W,D,T,6,0.67
512,223,CMWA,4,W,W,W,D,T,6,0.67
591,260,BWVI,6,Y,W,W,C,T,8,0.75
592,260,BWVI,6,Y,W,W,C,T,8,0.75
593,260,BWVI,6,Y,W,W,C,T,8,0.75
594,260,BWVI,6,Y,W,W,C,T,8,0.75
595,260,BWVI,6,Y,W,W,C,T,8,0.75
640,276,BWVI,6,Y,W,W,C,T,8,0.75
596,261,BWVI,7,Y,W,W,C,T,8,0.88
597,261,BWVI,7,Y,W,W,C,T,8,0.88
598,261,BWVI,7,Y,W,W,C,T,8,0.88
599,261,BWVI,7,Y,W,W,C,T,8,0.88
600,261,BWVI,7,Y,W,W,C,T,8,0.88
521,227,BWVI,7.5,Y,W,W,C,T,8,0.94
522,227,BWVI,7.5,Y,W,W,C,T,8,0.94
523,227,BWVI,7.5,Y,W,W,C,T,8,0.94
483,209,BWVI,7,Y,W,W,C,T,9,0.78
484,209,BWVI,7,Y,W,W,C,T,9,0.78
265,136,BWVI,6,Y,W,W,C,T,10,0.60
266,136,BWVI,6,Y,W,W,C,T,10,0.60
403,184,CMWA,3.5,W,W,W,D,T,10,0.35
404,184,CMWA,3.5,W,W,W,D,T,10,0.35
405,184,CMWA,3.5,W,W,W,D,T,10,0.35
406,184,CMWA,3.5,W,W,W,D,T,10,0.35
416,188,CMWA,9,W,W,W,D,T,11,0.82
342,162,YRWA,2,W,W,W,G,,12,0.17
513,224,CMWA,12.5,W,W,W,D,T,13,0.96
514,224,CMWA,12.5,W,W,W,D,T,13,0.96
515,224,CMWA,12.5,W,W,W,D,T,13,0.96
516,224,CMWA,12.5,W,W,W,D,T,13,0.96
517,224,CMWA,12.5,W,W,W,D,T,13,0.96
424,191,CMWA,13,W,W,W,D,T,14,0.93
425,191,CMWA,13,W,W,W,D,T,14,0.93
426,191,CMWA,13,W,W,W,D,T,14,0.93
427,191,CMWA,13,W,W,W,D,T,14,0.93
428,191,CMWA,13,W,W,W,D,T,14,0.93
429,191,CMWA,13,W,W,W,D,T,14,0.93
499,217,BWVI,6,Y,W,W,C,T,17,0.35
